ProjectBuildingDWID|ProjectID|BuildingID|BoroID|Block|Lot|BIN|HouseNumber|StreetName|TotalBuildingUnits|BaseSquareFootage|Stories
41082|48002|210828|3|03305|0019|3075614|64|BLEECKER STREET|3|1563|3
41164|48002|303867|3|03289|0044|3075122|1351|GREENE AVENUE|6|1953|3
41165|48002|303837|3|03287|0040|3075083|1285|GREENE AVENUE|5|1373|4
41166|48002|377625|3|03246|0038|3073844|195|STOCKHOLM STREET|5|1600|3
41167|48002|302967|3|03456|0045|3080321|27|GRANITE STREET|5|1648|3
41168|48002|396127|3|03209|0012|3072931|1116|WILLOUGHBY AVENUE|4|1375|3
41169|48002|398306|3|03320|0001|3075982|279|WYCKOFF AVENUE|2|2219|3
41170|48002|398316|3|03329|0001|3076194|299|WYCKOFF AVENUE|3|1500|3
39928|44454|921857|2|02697|0038||920-924|WESTCHESTER AVENUE|110||8
29893|45888|117113|2|03304|0069|2017139|2665|VALENTINE AVENUE|40||5
381|45907|367914|3|01383|0045|3037029|262|SCHENECTADY AVENUE|8||3
3555|45907|373671|3|01377|0045|3036773|1315|ST JOHNS PLACE|8||4
3938|45907|373670|3|01383|0029|3037017|1312|ST JOHNS PLACE|8||4
10106|45907|362400|3|01380|0007|3036882|229|ROCHESTER AVENUE|6||3
29172|45907|373666|3|01377|0047|3036775|1307|ST JOHNS PLACE|8||4
32507|45907|362398|3|01380|0010|3036885|223|ROCHESTER AVENUE|6||4
32152|45907|373664|3|01377|0048|3036776|1303|ST JOHNS PLACE|8||3
35671|45907|362386|3|01368|0006|3036298|183|ROCHESTER AVENUE|16||4
38271|45907|809288|3|01380|0008|3036884|225|ROCHESTER AVENUE|6||6
38353|45907|373669|3|01377|0046|3036774|1311|ST JOHNS PLACE|8||4
40431|48513|933758|4|08943|0020|4461886|74-34|ROCKAWAY BOULEVARD|2|520|2
41409|47960|81557|2|03209|0045|2014559|2333|GRAND AVENUE|44||6
41410|47960|51236|2|03293|0039|2016794|2600|BRIGGS AVENUE|36||5
41411|47960|59221|2|03165|0022|2013793|2414|CRESTON AVENUE|30||5
41412|47960|114432|2|03145|0026|2013410|2279|TIEBOUT AVENUE|15||4
4503|45915|19623|1|01621|0064|1051657|14|EAST 116 STREET|10||5
5742|45915|20602|1|01789|0026|1054666|260|EAST 125 STREET|12||5
13093|45915|19763|1|01621|0049|1051650|54|EAST 116 STREET|9||5
32569|45915|19602|1|01621|0066|1051659|10|EAST 116 STREET|10||5
41207|48132|5653|1|02079|0034|1061988|1772|AMSTERDAM AVENUE|9|1859|5
41208|48132|28239|1|02065|0026|1061579|801|ST NICHOLAS AVENUE|42|7995|6
41209|48132|21283|1|02054|0016|1061167|369|EDGECOMBE AVENUE|16|2595|5
40494|48579|940495|1|00372|0044|100000|310|EAST 2 STREET|135|10000|12
40948|48794|62836|2|02550|0008|2003605|572|EAST 138 STREET|10|3417|5
40949|48794|62837|2|02550|0010|2003606|574|EAST 138 STREET|24|5000|6
40950|48794|63883|2|02398|0009|2001662|356|EAST 152 STREET|13|2858|5
40951|48794|902977|2|02284|0062|2091062|285|BROOK AVENUE|15|20401|5
41092|48794|806338|2|02284|0062|2091061|283|BROOK AVENUE|15|20401|5
41093|48794|52677|2|02284|0062|2091063|277|BROOK AVENUE|14|20401|5
